row_id,HomePlanet,Destination,CryoSleep,Age,VIP,TotalSpent,HasGroup,Deck,Side,CabinNo,Transported
0,Europa,Trappist,False,39.0,False,0.0,False,B,P,0,False
1,Earth,Trappist,False,24.0,False,736.0,False,F,S,0,True
2,Europa,Trappist,False,58.0,True,10383.0,True,A,S,0,False
3,Europa,Trappist,False,33.0,False,5176.0,True,A,S,0,False
4,Earth,Trappist,False,16.0,False,1091.0,False,F,S,1,True
5,Earth,PSO,False,44.0,False,774.0,False,F,P,0,True
6,Earth,Trappist,False,26.0,False,1584.0,True,F,S,2,True
7,Earth,Trappist,True,28.0,False,0.0,True,G,S,0,True
8,Earth,Trappist,False,35.0,False,1018.0,False,F,S,3,True
9,Europa,Cancri,True,14.0,False,0.0,True,B,P,1,True
10,Europa,Trappist,True,34.0,False,0.0,True,B,P,1,True
11,Europa,Cancri,False,45.0,False,8157.0,True,B,P,1,True
12,Mars,Trappist,False,32.0,False,1309.0,False,F,P,1,True
13,Earth,Trappist,False,48.0,False,809.0,False,G,S,1,False
14,Earth,Trappist,False,28.0,False,1003.0,False,F,P,2,True
15,Earth,Trappist,False,31.0,False,908.0,False,,,,False
16,Mars,Cancri,False,27.0,False,,False,F,P,3,False
17,Earth,Cancri,False,24.0,False,638.0,False,F,P,4,False
18,Mars,Trappist,True,45.0,False,0.0,False,F,P,5,True
19,Earth,Trappist,False,0.0,False,0.0,True,G,P,0,True
20,Earth,Cancri,False,14.0,False,1092.0,True,F,P,6,False
21,Earth,Trappist,True,1.0,False,0.0,True,E,S,0,False
22,Earth,Cancri,True,49.0,False,0.0,True,E,S,0,False
23,Earth,Cancri,True,29.0,False,0.0,True,E,S,0,False
24,Earth,Trappist,False,10.0,False,0.0,True,E,S,0,True
25,Earth,PSO,True,1.0,False,0.0,True,E,S,0,False
26,Earth,Trappist,False,7.0,False,0.0,True,E,S,0,False
27,Mars,Trappist,False,21.0,False,1051.0,False,D,P,0,False
28,Europa,Trappist,True,62.0,False,0.0,False,C,S,2,True
29,Earth,Trappist,False,15.0,False,1223.0,False,F,S,6,False
30,Europa,Cancri,False,34.0,False,7861.0,False,C,P,0,False
31,Mars,Trappist,False,43.0,False,1309.0,False,F,P,8,False
32,Earth,Trappist,False,32.0,False,1821.0,False,G,S,4,False
33,Mars,Trappist,False,47.0,False,2854.0,True,F,P,9,True
34,Mars,Trappist,False,2.0,False,0.0,True,F,P,9,True
35,Mars,Trappist,False,20.0,False,,True,F,P,9,True
36,Europa,Cancri,True,28.0,False,0.0,False,D,S,1,True
37,Mars,Cancri,False,23.0,False,2699.0,False,D,P,1,False
38,Earth,Cancri,False,15.0,False,961.0,False,F,S,8,False
39,Earth,Cancri,False,20.0,False,3355.0,False,F,S,10,False
40,Earth,Cancri,True,30.0,False,0.0,False,G,P,1,False
41,Earth,Trappist,True,17.0,False,0.0,False,G,P,2,True
42,Europa,Trappist,False,45.0,False,3575.0,False,B,P,3,False
43,Earth,Trappist,True,55.0,False,0.0,True,G,P,3,False
44,Earth,Cancri,True,4.0,False,0.0,True,G,P,3,True
45,Earth,PSO,True,21.0,False,0.0,True,G,P,3,True
46,Mars,Trappist,False,21.0,False,1214.0,True,F,P,10,False
47,Mars,,True,19.0,False,0.0,True,F,P,10,True
48,Earth,Cancri,False,35.0,False,,False,E,S,1,False
49,Earth,Trappist,False,56.0,False,1618.0,False,E,S,2,False
50,Earth,Trappist,False,,False,4689.0,False,G,S,6,False
51,Earth,Trappist,False,25.0,False,1939.0,False,F,S,11,True
52,Europa,Trappist,False,2.0,False,0.0,True,A,S,1,True
53,Europa,Trappist,True,38.0,False,0.0,True,A,S,1,True
54,Europa,Trappist,False,27.0,False,4547.0,True,A,S,1,True
55,Earth,PSO,True,36.0,False,0.0,False,G,S,7,False
56,Earth,Trappist,False,22.0,False,2667.0,False,F,S,12,False
57,Earth,Trappist,False,62.0,False,634.0,False,F,S,13,False
58,Mars,Trappist,True,15.0,False,0.0,True,F,S,14,True
59,Mars,Trappist,True,33.0,False,0.0,True,E,S,3,True
60,Earth,Trappist,False,62.0,False,811.0,False,G,P,6,False
61,Earth,PSO,True,0.0,False,0.0,True,G,S,10,True
62,Earth,Trappist,False,18.0,False,705.0,True,G,S,10,True
63,Earth,Cancri,False,21.0,False,2007.0,True,F,S,15,False
64,Mars,Trappist,False,,False,1048.0,False,E,S,4,False
65,Earth,Trappist,False,42.0,False,902.0,False,F,S,16,True
66,Earth,Trappist,False,19.0,False,922.0,False,F,P,13,False
67,Earth,Trappist,False,17.0,False,2233.0,False,F,P,14,False
68,Earth,Trappist,False,14.0,False,1064.0,False,F,S,17,False
69,Mars,PSO,False,37.0,False,879.0,False,D,P,3,False
70,Europa,Trappist,False,42.0,False,8904.0,False,C,S,3,True
71,Mars,Trappist,False,27.0,False,1165.0,False,F,S,18,True
72,Mars,Trappist,False,28.0,False,1309.0,False,F,P,15,True
73,Europa,Trappist,False,38.0,False,15815.0,False,C,S,4,False
74,Earth,Trappist,True,13.0,False,0.0,False,G,S,13,False
